 written on  4Feb2026 at 14:55:19 
           6
         231
    2    2    1    1    1    2    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    2    1    1    1    2    2
  -10   -5    0    1    1    0.000000    0.000000
  -10   -5    0    2    1    0.000000    0.000000
  -10   -5    0    3    1    0.000000    0.000000
  -10   -5    0    4    1   -0.000000    0.000000
  -10   -5    0    5    1    0.000000   -0.000000
  -10   -5    0    6    1   -0.000000   -0.000000
  -10   -5    0    1    2    0.000000    0.000000
  -10   -5    0    2    2    0.000000    0.000000
  -10   -5    0    3    2    0.000000    0.000000
  -10   -5    0    4    2    0.000000    0.000000
  -10   -5    0    5    2   -0.000000   -0.000000
  -10   -5    0    6    2   -0.000000    0.000000
  -10   -5    0    1    3    0.000000    0.000000
  -10   -5    0    2    3    0.000000    0.000000
  -10   -5    0    3    3    0.000000    0.000000
  -10   -5    0    4    3   -0.000000    0.000000
  -10   -5    0    5    3   -0.000000   -0.000000
  -10   -5    0    6    3   -0.000000   -0.000000
  -10   -5    0    1    4    0.000000    0.000000
  -10   -5    0    2    4    0.000000   -0.000000
  -10   -5    0    3    4    0.000000   -0.000000
  -10   -5    0    4    4    0.000000   -0.000000
